Title,Organism,Type,Platform,Samples,Accession,FTP,Data Processing,Samples,
Biopsy expression profiling of an adult inflammatory bowel disease cohort,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 2490 Samples,2490,"GSE193677	ID: 200193677",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE193nnn/GSE193677/,,,
Large-scale whole blood RNA-Seq identifies transcriptional differences between primary sclerosing cholangitis and ulcerative colitis ,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 1035 Samples,1035,"GSE177044	ID: 200177044",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE177nnn/GSE177044/,,,
Blood expression profiling of an adult inflammatory bowel disease cohort,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 1030 Samples,1030,"GSE186507	ID: 200186507",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186507/,,,
"Genes in Inflammatory Bowel Disease-Associated Risk Loci Demonstrate Genotype-, Tissue-, and Inflammation-Specific Patterns of Expression in Terminal Ileum and Colon Mucosal Tissue",Homo sapiens,Other,GPL20926 989 Samples,989,"GSE73094	ID: 200073094",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73094/,,,
Integrative Epigenome-Wide Analysis Shows That DNA Methylation May Mediate Genetic Risk In Inflammatory Bowel Disease,Homo sapiens,Expression profiling by array; Methylation profiling by genome tiling array,GPL13534 GPL10558 875 Samples,875,"GSE87650	ID: 200087650","GEO (IDAT, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87650/",,,
Efficacy and safety of ustekinumab treatment in patients with ulcerative colitis,Homo sapiens,Expression profiling by array,GPL13158 568 Samples,568,"GSE206285	ID: 200206285","GEO (CEL, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206285/",,,
Epigenetic array data of saliva samples in individiduals with Crohn's Disease and Ulcerative Colitis with controls,Homo sapiens,Methylation profiling by genome tiling array,GPL21145 552 Samples,552,"GSE232891	ID: 200232891","GEO (CSV, IDAT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE232nnn/GSE232891/",,,
Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 GPL16791 480 Samples,480,"GSE95459	ID: 200095459",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95459/,,,
"Vedolizumab efficacy is associated with decreased intracolonic dendritic cells, not memory T cells",Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 442 Samples,442,"GSE234982	ID: 200234982",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234982/,,,
Treatment Naïve and Follow-Up Pediatric Ulcerative Colitis Rectal Gene Expression,Homo sapiens,Expression profiling by high throughput sequencing,GPL21697 418 Samples,418,"GSE150961	ID: 200150961",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150961/,,,
"Integrative Epigenome-Wide Analysis Shows That DNA Methylation May Mediate Genetic Risk In Inflammatory Bowel Disease [Whole blood, Methylation profiling]",Homo sapiens,Methylation profiling by genome tiling array,GPL13534 384 Samples,384,"GSE87648	ID: 200087648","GEO (IDAT, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87648/",,,
Common functional alterations identified in blood transcriptome of autoimmune cholestatic liver and inflammatory bowel diseases,Homo sapiens,Expression profiling by array,GPL10558 370 Samples,370,"GSE119600	ID: 200119600",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119600/,,,
Longitudinal Rectal tissue DNA methylation Profiling Identifies Cell-specific Signatures for Disease severity and Outcome in Ulcerative Colitis,Homo sapiens,Methylation profiling by genome tiling array,GPL21145 369 Samples,369,"GSE185061	ID: 200185061","GEO (IDAT, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185061/",,,
Gut biopsies from patients with Crohn's Disease and Ulcerative Colitis and healthy controls,Homo sapiens,Expression profiling by array,GPL19833 368 Samples,368,"GSE66407	ID: 200066407",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66407/,,,
Epigenetic inactivation of the autophagy-lysosomal system in the Parkinson’s disease appendix,Homo sapiens,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,GPL18573 GPL24676 GPL16791 366 Samples,366,"GSE135751	ID: 200135751",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135751/,,,
"Vedolizumab efficacy is associated with decreased intracolonic dendritic cells, not memory T cells [P444]",Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 346 Samples,346,"GSE234981	ID: 200234981",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234981/,,,
Core Ileal Transcriptome in Pediatric Crohn Disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL11154 322 Samples,322,"GSE57945	ID: 200057945",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57945/,,,
Large-scale East-Asian eQTL mapping reveals novel candidate genes for LD mapping and the genomic landscape of transcriptional effects of sequence variants,Homo sapiens,Expression profiling by array,GPL14550 301 Samples,301,"GSE53351	ID: 200053351",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53351/,,,
Blood gene expression signatures distinguish autism spectrum disorders from controls,Homo sapiens,Expression profiling by array,GPL6244 GPL570 285 Samples,285,"GSE18123	ID: 200018123",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18123/,,Blood signatures,
"Associations between host gene expression, the mucosal microbiome, and clinical outcome in the pelvic pouch of patients with inflammatory bowel disease.",Homo sapiens,Expression profiling by array,GPL6244 273 Samples,273,"GSE65270	ID: 200065270",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65270/,,,
Embark cross-sectional study of inactive and active lesions from the ileum and colon of inflammatory bowel disease patients,Homo sapiens,Expression profiling by array,GPL6480 254 Samples,254,"GSE179285	ID: 200179285",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE179nnn/GSE179285/,,,
Longitudinal Multi’omics of the Human Microbiome in Inflammatory Bowel Disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL11154 251 Samples,251,"GSE111889	ID: 200111889",GEO (TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111889/,,,
Integrative Epigenome-Wide Analysis Shows That DNA Methylation May Mediate Genetic Risk In Inflammatory Bowel Disease [Expression profiling],Homo sapiens,Expression profiling by array,GPL10558 251 Samples,251,"GSE86434	ID: 200086434","GEO (IDAT, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86434/",,,
Small RNA-seq data of peripheral blood obtained from treatment-receiving IBD patients and control individuals (small RNA-Seq II),Homo sapiens,Non-coding RNA profiling by high throughput sequencing,GPL16791 242 Samples,242,"GSE169570	ID: 200169570",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169570/,,,
"Integrative Epigenome-Wide Analysis Shows That DNA Methylation May Mediate Genetic Risk In Inflammatory Bowel Disease [Cells, Methylation profiling]",Homo sapiens,Methylation profiling by genome tiling array,GPL13534 240 Samples,240,"GSE87640	ID: 200087640","GEO (IDAT, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87640/",,,
"Mucosal transcriptome of rectal biopsies in treatment-naïve, pediatric ulcerative colitits patients",Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 226 Samples,226,"GSE109142	ID: 200109142",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109142/,,,
A longitudinal single-cell atlas of anti-tumour necrosis factor treatment in inflammatory bowel disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 216 Samples,216,"GSE282122	ID: 200282122",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282122/,,,
Transcriptional and functional characterization of human intestinal organoid and monolayer models for IBD-therapeutic development,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 211 Samples,211,"GSE197698	ID: 200197698",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197698/,,,
Small RNA-seq data of peripheral blood obtained from treatment-näive IBD patients and control individuals (small RNA-Seq I),Homo sapiens,Non-coding RNA profiling by high throughput sequencing,GPL16791 205 Samples,205,"GSE169569	ID: 200169569",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169569/,,,
BeadChip microarray data of peripheral blood obtained from treatment-näive IBD patients and control individuals,Homo sapiens,Expression profiling by array,GPL10558 205 Samples,205,"GSE169568	ID: 200169568","GEO (IDAT, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169568/",,,
A validated single-cell-based strategy to identify diagnostic and therapeutic targets in complex diseases,Homo sapiens,Expression profiling by array,GPL25864 204 Samples,204,"GSE123088	ID: 200123088",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123088/,,,
Whole Blood Transcriptome Profiling in Juvenile Idiopathic Arthritis and Inflammatory Bowel Disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL11154 202 Samples,202,"GSE112057	ID: 200112057",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112057/,,,
Colon biopsies from UC patients and healthy controls,Homo sapiens,Expression profiling by array,GPL1708 202 Samples,202,"GSE11223	ID: 200011223",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11223/,,,
Ileum Transcriptomic Profiling in Inflammatory Bowel Disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL21697 195 Samples,195,"GSE137344	ID: 200137344",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137344/,,,
Mucosal gene expression profiling in patients with inflammatory bowel disease study,Homo sapiens,Expression profiling by array,GPL6244 194 Samples,194,"GSE75214	ID: 200075214",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75214/,,,
Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease [3],Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 192 Samples,192,"GSE95450	ID: 200095450",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95450/,,,
Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease [2],Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 192 Samples,192,"GSE95446	ID: 200095446",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95446/,,,
Transcription profiles of rectal biopsies obtained during diagnostic colonoscopy for pediatric inflammatory bowel diseases.,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 190 Samples,190,"GSE117993	ID: 200117993",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117993/,,,
Characterization of molecular response to Golimumab in Ulcerative Colitis by mucosal biopsy mRNA expression profiling: results from PURSUIT-SC induction study,Homo sapiens,Expression profiling by array,GPL13158 183 Samples,183,"GSE92415	ID: 200092415",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92415/,,,
The effect of vedolizumab (anti-α4β7-integrin) therapy on colonic mucosal gene expression in patients with ulcerative colitis (UC),Homo sapiens,Expression profiling by array,GPL6244 178 Samples,178,"GSE73661	ID: 200073661",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73661/,,,
Concordance between gene expression in peripheral whole blood and colonic tissue in children with inflammatory bowel disease.,Homo sapiens,Expression profiling by array,GPL6244 176 Samples,176,"GSE126124	ID: 200126124",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126124/,,,
Mucosal transcriptomics implicates under expression of FAM5C in the pathogenesis of ulcerative colitis,Homo sapiens,Expression profiling by array,GPL10558 171 Samples,171,"GSE48634	ID: 200048634",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48634/,,,
Characterization of the IL23-IL17 immune axis in IBD patients,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 170 Samples,170,"GSE165512	ID: 200165512",GEO (TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165512/,,,
Genotyping analysis employing Illumina Infinium ImmunoArray-24 v2.0 BeadChip,Homo sapiens,Genome variation profiling by SNP array,GPL24141 170 Samples,170,"GSE105120	ID: 200105120","GEO (IDAT, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE105nnn/GSE105120/",,,
Ulcerative Colitis subjects,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing,GPL15207 GPL18573 167 Samples,167,"GSE107597	ID: 200107597",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107597/,,,
A validated single-cell-based strategy to identify diagnostic and therapeutic targets in complex diseases [study of 13 diseases],Homo sapiens,Expression profiling by array,GPL25864 166 Samples,166,"GSE123086	ID: 200123086",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123086/,,,
In-depth transcriptomic analyses investigating molecular mechanisms underlying diabetic retinopathy,Homo sapiens,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,GPL20301 158 Samples,158,"GSE160310	ID: 200160310",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160310/,,,
Gene expression profiling of sigmoid colonic tissue form patients with ulcerative colitis and healthy controls,Homo sapiens,Expression profiling by array,GPL19211 152 Samples,152,"GSE206171	ID: 200206171","GEO (CEL, XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206171/",,,
A functional genomics predictive network model identifies regulators of inflammatory bowel disease: Mount Sinai Hospital (MSH) Population Specimen Collection and Profiling of Inflammatory Bowel Disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 134 Samples,134,"GSE83687	ID: 200083687",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83687/,,,
Mucosal expression profiling in patients with inflammatory bowel disease before and after first infliximab treatment,Homo sapiens,Expression profiling by array,GPL570 133 Samples,133,"GSE16879	ID: 200016879",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16879/,,Treatment - infliximab,
SIRPa agonist antibody treatment ameliorates experimental arthritis and colitis [array],Homo sapiens,Expression profiling by array,GPL570 132 Samples,132,"GSE236924	ID: 200236924",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE236nnn/GSE236924/,,Treatment - SIRPa agonist antibody ,
Genome-wide maps of circulating miRNA biomarkers for Ulcerative Colitis,Homo sapiens; synthetic construct,Non-coding RNA profiling by array,GPL8786 132 Samples,132,"GSE32273	ID: 200032273",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32273/,,,
Gene expression profiling of mucosal biopsies from pediatric or adult patients with moderately to severely active ulcerative colitis,Homo sapiens,Expression profiling by array,GPL13158 127 Samples,127,"GSE87473	ID: 200087473",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87473/,,,
Comparison of PBMCs in Inflammatory Bowel Disease,Homo sapiens,Expression profiling by array,GPL96 127 Samples,127,"GSE3365	ID: 200003365",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE3nnn/GSE3365/,,,
Molecular Marker for predicting development of cancer in ulcerative colitis,Homo sapiens,Expression profiling by array,GPL570 121 Samples,121,"GSE3629	ID: 200003629",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE3nnn/GSE3629/,MASS 5.0 (UC with dysplasia),,
Transcriptome Profiling of Rectal and Ileal Tissues in Inflammatory Bowel Disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 GPL16791 119 Samples,119,"GSE158952	ID: 200158952",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158952/,,,
Expression data from Ulcerative Colitis subjects,Homo sapiens,Expression profiling by array,GPL15207 119 Samples,119,"GSE107499	ID: 200107499",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107499/,,,
Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis.,Homo sapiens,Expression profiling by high throughput sequencing; Other,GPL18573 GPL24676 117 Samples,117,"GSE189185	ID: 200189185",GEO (ZIP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE189nnn/GSE189185/,,,
Mucosal gene expression profiling in patients with inflammatory bowel disease,Homo sapiens,Expression profiling by array,GPL6244 116 Samples,116,"GSE59071	ID: 200059071",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59071/,,,
Association of microRNAs with CD68 and NOS2 in IBD tissues.,Mus musculus; Homo sapiens,Non-coding RNA profiling by array,GPL13681 114 Samples,114,"GSE29703	ID: 200029703",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29703/,,,
Gene expression profiling of mucosal biopsies from adult patients with moderately to severely active ulcerative colitis,Homo sapiens,Expression profiling by array,GPL13158 108 Samples,108,"GSE87466	ID: 200087466",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87466/,,,
Genetic architecture differences between pediatric and adult-onset inflammatory bowel diseases in the Polish population,Homo sapiens,Genome variation profiling by SNP array,GPL16104 108 Samples,108,"GSE79094	ID: 200079094",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79094/,,,
Single-Cell Analyses Elucidate the Cellular and Molecular Landscape of Ulcerative Colitis,Homo sapiens,Expression profiling by high throughput sequencing; Other,GPL20301 GPL24676 103 Samples,103,"GSE125527	ID: 200125527","GEO (CSV, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125527/",,,
Myeloid Cell Adhesion Molecule 1 (CADM1) promotes pro-inflammatory signaling during Inflammatory Bowel Disease.,Homo sapiens,Non-coding RNA profiling by high throughput sequencing,GPL16791 102 Samples,102,"GSE272890	ID: 200272890",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE272nnn/GSE272890/,,,
Differential early pathogenic changes in human ileal gene expression in Crohn's disease and ulcerative colitis,Homo sapiens,Expression profiling by array,GPL6480 99 Samples,99,"GSE24287	ID: 200024287",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24287/,,,
"Expression data from peripheral whole blood of non-IBD controls, CD and UC patients",Homo sapiens,Expression profiling by array,GPL19109 97 Samples,97,"GSE94648	ID: 200094648",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94648/,,,
"Vedolizumab efficacy is associated with decreased intracolonic dendritic cells, not memory T cells [P430]",Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 96 Samples,96,"GSE234736	ID: 200234736",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234736/,,,
Targeted ileal transcriptomic analysis in paediatric IBDs.,Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 96 Samples,96,"GSE153974	ID: 200153974","GEO (XLS, XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153974/",,,
RNA profiles in serum and urine extracellular vesicles of patients with cholangiocarcinoma mimicking tumor expression: novel liquid biopsy approach,Homo sapiens,Expression profiling by array,GPL14951 96 Samples,96,"GSE144521	ID: 200144521",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144521/,,,
Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease [1],Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 96 Samples,96,"GSE95435	ID: 200095435",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95435/,,,
Transcriptomic landscape of lncRNAs in Inflammatory Bowel Disease,Homo sapiens,Non-coding RNA profiling by array,GPL19920 96 Samples,96,"GSE67106	ID: 200067106",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67106/,,,
MiRNA Profiling of Colonic Epithelial Cell Populations by Next Generation Sequencing,Homo sapiens,Non-coding RNA profiling by high throughput sequencing,GPL20301 94 Samples,94,"GSE185101	ID: 200185101","GEO (TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185101/",,,
The transcription start site and enhancer landscape of the descending colon in inflammatory bowel disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL11154 94 Samples,94,"GSE95437	ID: 200095437",GEO (BED) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95437/,,,
Prediction of Golimumab Response in the PROgECT Phase 2a Open-Label Trial of Patients With Ulcerative Colitis,Homo sapiens,Expression profiling by array,GPL570 84 Samples,84,"GSE212849	ID: 200212849",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE212nnn/GSE212849/,,Treatment - Golimumab,
