"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig","STRING_id"
"DEFA5",5.36785897611503,8.74997731339227,7.02551056677098,4.62440490525944e-10,6.58420188255815e-09,12.4508680695031,"Up","9606.ENSP00000329890"
"DUOX2",5.15862860163474,9.4678367741311,10.3712795431558,7.62435671486895e-17,5.34634188515451e-15,27.868291168503,"Up","9606.ENSP00000475084"
"SLC6A14",5.09350839447956,7.99769691572021,9.89975192876195,6.90910749171982e-16,3.80932942464112e-14,25.688540539901,"Up","9606.ENSP00000470801"
"REG1A",4.91286291208559,9.79400137095664,6.2082013224653,1.80499210620714e-08,1.72928506297406e-07,8.85528108427813,"Up","9606.ENSP00000233735"
"CHI3L1",4.78248891620745,7.83791084708839,9.1090181273447,2.83098498691195e-14,1.09524951933306e-12,22.0180153700163,"Up","9606.ENSP00000255409"
"REG1B",4.4607164347227,8.50175889593044,5.21431050663915,1.244517807718e-06,7.55157790356521e-06,4.72668741507674,"Up","9606.ENSP00000303206"
"DEFA6",4.38195917009523,9.24117986099114,6.91631526823415,7.59933731348096e-10,1.02108700585149e-08,11.9626328518117,"Up","9606.ENSP00000297436"
"MMP3",4.10239140185835,9.47034747089567,7.00049754098586,5.18253628449328e-10,7.28639922855544e-09,12.3388459566013,"Up","9606.ENSP00000299855"
"LCN2",3.9364721051175,12.105954223263,10.9606735448888,4.93817274592968e-18,4.5227615610578e-16,30.5753255351866,"Up","9606.ENSP00000362108"
"S100A8",3.92525175073316,10.8780509817851,7.83643461716407,1.10056699833964e-11,2.36095820991809e-10,16.1314544137042,"Up","9606.ENSP00000357722"
"TCN1",3.8529990602326,7.15253469813405,6.94366184710398,6.71164659213814e-10,9.19991679175246e-09,12.0847078023893,"Up","9606.ENSP00000257264"
"DUOXA2",3.84935403894384,8.95313197691208,10.0358461255931,3.65327281282062e-16,2.16294956851931e-14,26.3186818148757,"Up","9606.ENSP00000319705"
"CXCL1",3.81427451829257,9.88372353449599,9.09132737145883,3.0765031170919e-14,1.18179364724404e-12,21.9358285922914,"Up","9606.ENSP00000379110"
"CTSZ",3.74401606856306,10.3788375992584,16.980866027146,2.84083549503173e-29,1.27491015346034e-25,56.1094877481536,"Up","9606.ENSP00000217131"
"CXCL3",3.65593616118132,9.34690581252489,8.87127171404316,8.65584866407373e-14,3.00426454961731e-12,20.9137549608224,"Up","9606.ENSP00000296026"
"PI3",3.63377672287551,10.5679335906642,8.95520650156958,5.83404635265272e-14,2.10466504995457e-12,21.3035277553405,"Up","9606.ENSP00000243924"
"CXCL6",3.4512205099922,7.06731503971956,7.1792397902613,2.2909792657477e-10,3.52104683178853e-09,13.1416242426464,"Up","9606.ENSP00000226317"
"MMP10",3.21642059227375,6.75285282178763,6.7479276020001,1.62834128708279e-09,2.03103669487775e-08,11.2140191468239,"Up","9606.ENSP00000279441"
"MMP1",3.14947760648601,9.50937043127368,6.10400322791598,2.85045946581296e-08,2.60005934769825e-07,8.40811855048928,"Up","9606.ENSP00000322788"
"CTHRC1",3.06899454216898,8.65750575028844,7.66259536665535,2.46766149137881e-11,4.77755446117767e-10,15.3356188924971,"Up","9606.ENSP00000330523"
"CXCL11",2.94082203603029,7.44363649328339,5.20504174361888,1.29271015270223e-06,7.80969211142293e-06,4.68980975945145,"Up","9606.ENSP00000306884"
"CXCL8",2.93172554919313,9.21479195902903,5.83201233839576,9.27208879069146e-08,7.43589708271357e-07,7.25530930078081,"Up","9606.ENSP00000306512"
"DEFB4A",2.88428620723804,7.46333602148693,6.57167934220012,3.59560620737107e-09,4.13965149754743e-08,10.4365215817497,"Up","9606.ENSP00000303532"
"DEFB4B",2.88428620723804,7.46333602148693,6.57167934220012,3.59560620737107e-09,4.13965149754743e-08,10.4365215817497,"Up","9606.ENSP00000424598"
"GREM1",2.76378344535497,9.7284653397292,6.34944200966631,9.67606623056898e-09,9.9642611357383e-08,9.46592664135338,"Up","9606.ENSP00000478319"
"CXCL13",2.69690303093928,8.95721156971779,4.2054413947486,6.33647224951094e-05,0.000250677187600099,0.937348335334544,"Up","9606.ENSP00000286758"
"CXCL5",2.69140473188172,6.49713415221897,4.44600104337724,2.58565045354292e-05,0.000113594314628228,1.79618531059619,"Up","9606.ENSP00000296027"
"VNN1",2.68914280045404,7.02560161671007,6.78360266758386,1.38613150760703e-09,1.7552711568394e-08,11.3721682392436,"Up","9606.ENSP00000356905"
"UBD",2.62747443256043,10.322476773409,5.62801767970367,2.21542040053883e-07,1.61559370710728e-06,6.4056005184692,"Up","9606.ENSP00000366249"
"C4BPA",2.61553806776403,8.0496877741887,7.2698150280408,1.51223980352895e-10,2.41173766534371e-09,13.5503382783069,"Up","9606.ENSP00000356037"
"CXCR2",2.58507633534613,6.62323214831343,6.669126458479,2.32208155898648e-09,2.79834522567656e-08,10.8655962607413,"Up","9606.ENSP00000319635"
"MMP7",2.58119214586688,8.28245531558814,5.29089664772928,9.08138744605518e-07,5.69846904088457e-06,5.03268942760199,"Up","9606.ENSP00000260227"
"DMBT1",2.54366764857924,10.6590361446192,5.43447357645211,5.00272891321556e-07,3.34195397688728e-06,5.6123766082947,"Up","9606.ENSP00000357905"
"PDZK1IP1",2.53312550125804,10.291921079477,9.44909569889478,5.72486070435918e-15,2.56407483722786e-13,23.5978371847577,"Up","9606.ENSP00000294338"
"S100P",2.52214694550638,12.5736055258648,9.78738359776791,1.16991143690374e-15,6.14792569852059e-14,25.1677507779643,"Up","9606.ENSP00000296370"
"ALDOB",2.47832865648238,6.32399648584034,7.33920534157513,1.09925305165165e-10,1.80439935815737e-09,13.8642672445096,"Up","9606.ENSP00000363988"
"REG3A",2.47682809875351,6.45052641881251,6.11621332607697,2.70222560205798e-08,2.47692975018705e-07,8.46036607270009,"Up","9606.ENSP00000377456"
"SERPINA3",2.45533982478795,8.20879766850088,6.73949274646274,1.69148214734303e-09,2.10161505560522e-08,11.1766639567567,"Up","9606.ENSP00000376793"
"SERPINA3",2.45533982478795,8.20879766850088,6.73949274646274,1.69148214734303e-09,2.10161505560522e-08,11.1766639567567,"Up","9606.ENSP00000450540"
"C4BPB",2.45344023717249,8.39087621344131,8.31200402317303,1.19465943585096e-12,3.17994817094421e-11,18.3218807128331,"Up","9606.ENSP00000243611"
"PROK2",2.43739913775743,5.82774578535615,4.98828777209849,3.11462531081851e-06,1.7142280438915e-05,3.83736868460674,"Up","9606.ENSP00000295619"
"SLCO1B3",2.42930003688095,5.62509473913627,5.55940630085265,2.96111678347103e-07,2.09802650787201e-06,6.1229063583387,"Up","9606.ENSP00000261196"
"SLC16A4",2.39214654927408,6.40236719064113,8.17883803850806,2.22791932251199e-12,5.61711030088162e-11,17.7068869327911,"Up","9606.ENSP00000358794"
"TNFRSF6B",2.37722748260595,8.50597114245389,8.53920562960961,4.11765431529553e-13,1.22703911262837e-11,19.3733826313278,"Up","9606.ENSP00000359013"
"EGFL6",2.37389172276768,6.27539303709312,5.91289564361948,6.54256013305571e-08,5.39737157447195e-07,7.59584918823917,"Up","9606.ENSP00000369976"
"TNIP3",2.35739551108272,5.9105773419574,5.76621035036718,1.22964364642942e-07,9.58054645216313e-07,6.97975799865698,"Up","9606.ENSP00000426613"
"IDO1",2.34110757540734,9.06297828787055,5.78800787575141,1.12002129942264e-07,8.8337989236361e-07,7.07088602555161,"Up","9606.ENSP00000430950"
"NPTX2",2.33764759963793,7.20309629663194,4.71542434196878,9.17782953065654e-06,4.50637454788626e-05,2.79305788834555,"Up","9606.ENSP00000265634"
"CFI",2.33010698974953,7.52245925284719,7.23398699413962,1.78253239559082e-10,2.79708002969667e-09,13.3885203906324,"Up","9606.ENSP00000378130"
"HCAR2",2.31213007069975,7.70754899042247,4.73262930028875,8.58111065782041e-06,4.25622329909001e-05,2.85790539633407,"Up","9606.ENSP00000375066"
"HCAR3",2.31213007069975,7.70754899042247,4.73262930028875,8.58111065782041e-06,4.25622329909001e-05,2.85790539633407,"Up","9606.ENSP00000436714"
"S100A12",2.30250941024513,6.72848829078735,4.72127832273739,8.9704051750586e-06,4.4170928620395e-05,2.81510667807556,"Up","9606.ENSP00000357726"
"S100A9",2.29169569907505,9.96789101745624,5.73432146443648,1.40928268462291e-07,1.08557824099737e-06,6.84671450601943,"Up","9606.ENSP00000357727"
"SAA1",2.27745786216975,7.74643239237743,6.20775859866247,1.80850984474237e-08,1.7305395482377e-07,8.85337503334822,"Up","9606.ENSP00000384906"
"SAA2",2.27745786216975,7.74643239237743,6.20775859866247,1.80850984474237e-08,1.7305395482377e-07,8.85337503334822,"Up","9606.ENSP00000436126"
"TWIST1",2.25955762689242,5.85270125176139,7.30831690013263,1.26704729193938e-10,2.05428281675056e-09,13.7244403990427,"Up","9606.ENSP00000242261"
"APOL1",2.243483512979,8.64920161234954,9.0636749823783,3.50361270907877e-14,1.3279994185645e-12,21.8073661830678,"Up","9606.ENSP00000317674"
"CCN1",2.23880379555553,9.10846314046184,7.11308034037742,3.10084908030425e-10,4.60526444564137e-09,12.8438799996146,"Up","9606.ENSP00000378323"
"CCN1",2.23880379555553,9.10846314046184,7.11308034037742,3.10084908030425e-10,4.60526444564137e-09,12.8438799996146,"Up","9606.ENSP00000398736"
"CCN1",2.23880379555553,9.10846314046184,7.11308034037742,3.10084908030425e-10,4.60526444564137e-09,12.8438799996146,"Up","9606.ENSP00000274026"
"FOXQ1",2.2161056286036,8.39406049694838,4.88694597480064,4.66936815779896e-06,2.46299840368714e-05,3.44562677415342,"Up","9606.ENSP00000296839"
"ACKR4",2.19831144137395,6.39503220546031,7.70530783126318,2.02412150223022e-11,4.03368227251722e-10,15.5308687657419,"Up","9606.ENSP00000249887"
"FCGR3B",2.17544814028231,7.89849821129331,6.00335874539997,4.42040804008901e-08,3.81591689001711e-07,7.97903911036664,"Up","9606.ENSP00000433642"
"CDH3",2.16851083698386,7.50778195920007,5.79793915266312,1.07332177736008e-07,8.48336293137824e-07,7.11245512839472,"Up","9606.ENSP00000264012"
"CCL11",2.15845087268643,9.60282643181728,7.41487659398864,7.75781775762958e-11,1.33086905706002e-09,14.2073716259824,"Up","9606.ENSP00000302234"
"SERPINB7",2.11530477208451,5.32956947090742,4.80629759711532,6.42560791092781e-06,3.27468126080648e-05,3.13712217377008,"Up","9606.ENSP00000381101"
"IL1B",2.10487740565282,9.23959863226687,5.88963507707466,7.23397631564152e-08,5.92420418053577e-07,7.49771250277401,"Up","9606.ENSP00000263341"
"BCL2A1",2.10304237000177,8.58605384871087,5.28623908736771,9.25764350945709e-07,5.7977187471032e-06,5.01401502027707,"Up","9606.ENSP00000267953"
"CSGALNACT1",2.09843551067011,7.62653831845741,9.25907159199446,1.39825580402979e-14,5.82105046134033e-13,22.7151510097413,"Up","9606.ENSP00000411816"
"IGDCC4",2.07328869686791,6.86347079590579,10.790858827548,1.08388704054035e-17,9.14336139198682e-16,29.7977652392128,"Up","9606.ENSP00000319623"
"RNF183",2.06059623275549,6.62119418333529,7.31501506216626,1.22862307416453e-10,1.99486781195208e-09,13.7547504933616,"Up","9606.ENSP00000419454"
"C2CD4A",2.05171630591657,7.49918396681684,5.34985667387838,7.11520461645381e-07,4.57242041561705e-06,5.26980425499987,"Up","9606.ENSP00000347712"
"IL13RA2",2.03979319321367,6.27437655399111,5.15305845710101,1.59877943348158e-06,9.42343359808067e-06,4.48361820505494,"Up","9606.ENSP00000361004"
"SPP1",2.03116677194818,8.32647508263715,4.38433681454459,3.26214924229462e-05,0.000138950962125757,1.5731303218731,"Up","9606.ENSP00000378517"
"CCL18",2.01271251452406,9.75576835545039,5.07164887964046,2.22557750321647e-06,1.26174162694983e-05,4.16290886500948,"Up","9606.ENSP00000479955"
"MNDA",1.97664405833589,8.35155390588344,6.23013151758295,1.6389466446384e-08,1.58723883293228e-07,8.94976082975868,"Up","9606.ENSP00000357123"
"ADGRL4",1.96327294566842,7.94581336177778,8.42583620817598,7.00791223734851e-13,1.9942076341972e-11,18.8483897833503,"Up","9606.ENSP00000359778"
"THBS2",1.96015262528201,7.44659612190217,5.24563124449142,1.09432194038066e-06,6.72794640915535e-06,4.85155383283984,"Up","9606.ENSP00000355751"
"LPCAT1",1.95845112096421,8.56355473970577,10.4288379098665,5.83041456095736e-17,4.1798297870071e-15,28.1336125907525,"Up","9606.ENSP00000283415"
"MMP9",1.93548713207386,9.33178454673585,6.82309779781334,1.15947089354552e-09,1.49182152409794e-08,11.5475416553914,"Up","9606.ENSP00000361405"
"UNC5CL",1.92567023719143,6.79947964762987,7.73727316326455,1.74497936485355e-11,3.54670217100986e-10,15.6771166788392,"Up","9606.ENSP00000244565"
"TMEM158",1.91586691081806,8.43862996318975,8.63373508870751,2.64208818483821e-13,8.21133196393138e-12,19.8115335518992,"Up","9606.ENSP00000422431"
"IFI6",1.91146013238038,9.3784270702101,7.68406899192196,2.2337471052204e-11,4.39290545960039e-10,15.4337560375731,"Up","9606.ENSP00000342513"
"ROBO1",1.90787764536493,9.04754330996617,8.15394530095194,2.50291652853089e-12,6.24726851876582e-11,17.592051776546,"Up","9606.ENSP00000420321"
"LDB2",1.90465733107684,7.64943342571497,10.0786214956114,2.99069549736936e-16,1.80884679960838e-14,26.51658542656,"Up","9606.ENSP00000306772"
"ANXA1",1.88886479945491,11.1569201788726,7.41070301644201,7.90852297633764e-11,1.35155633713664e-09,14.1884280340609,"Up","9606.ENSP00000366109"
"NOS2",1.88397654128009,7.79272096385274,6.74438039599177,1.65460486282817e-09,2.05921677853585e-08,11.1983080114344,"Up","9606.ENSP00000327251"
"IL33",1.85987269873015,7.54935550882099,6.57546770161009,3.5351256893763e-09,4.08048792921373e-08,10.4531641412523,"Up","9606.ENSP00000370842"
"NEXN",1.85813941301689,7.69681795500455,6.73813062787883,1.70190367284655e-09,2.11222436476791e-08,11.1706329173599,"Up","9606.ENSP00000333938"
"RGCC",1.85620577963519,8.95179601908553,8.68266912123336,2.09966879682916e-13,6.62650747286211e-12,20.0384696437449,"Up","9606.ENSP00000368664"
"TMEM154",1.85205892023575,7.0045005170231,9.17234699409438,2.1020300973564e-14,8.39278529440929e-13,22.3122346210434,"Up","9606.ENSP00000302144"
"PCDH17",1.815156326166,6.88649995000611,7.79871407953016,1.31161141341669e-11,2.773915976028e-10,15.9585130751264,"Up","9606.ENSP00000367151"
"MTCL1",1.81216140712357,7.42337372073447,6.57997464516444,3.46448387006644e-09,4.01008878112281e-08,10.4729675822067,"Up","9606.ENSP00000352927"
"MZB1",1.8092794441416,9.62360789019011,6.08102284263663,3.15153589033772e-08,2.84433843414535e-07,8.30989587419496,"Up","9606.ENSP00000303920"
"ART3",1.80854227417389,5.95549757848395,5.97429015352144,5.01515165091031e-08,4.26107489188855e-07,7.85564708903718,"Up","9606.ENSP00000348064"
"DDIT4",1.80674401314574,10.4249857197285,8.59638664223668,3.14845512280511e-13,9.62509325621577e-12,19.6383812130453,"Up","9606.ENSP00000307305"
"CXCL2",1.80655221715456,7.09177930201752,7.89145568802908,8.51907466043294e-12,1.87227733893687e-10,16.3839540870402,"Up","9606.ENSP00000427279"
